Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.306947562256316,0.180831346156515,-0.235861998931365,0,0,0,0.219393180659538,0.00010004950762791,7.22920991582236E-08,-6.78050760303754E-08,0.000157044861745445,7.9949089280851E-06,0.000172559948538812,0,0,0,0,0,0,package://rosayanew/meshes/base_link.STL,0.996078431372549,0.870588235294118,0.76078431372549,1,0,0,0,0,0,0,package://rosayanew/meshes/base_link.STL,,Scaled Head Servo V2-1;FR-2-1;FR-4-2;FR-2-2;FR-4-1;XL-320-6;XL-320-4;XL-320-3;XL-320-2;XL-320-1;Badan V3-1;AX-12A No Horn-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
waist_link,-0.0120033988283798,0.0177864888210415,-0.00598432615626335,0,0,0,0.2530252141444,6.88384358100404E-05,1.45994634010128E-13,-5.86676449969518E-13,0.000207131359720109,-1.37231915803419E-07,0.000198692963522096,0,0,0,0,0,0,package://rosayanew/meshes/waist_link.STL,0.996078431372549,0.870588235294118,0.76078431372549,1,0,0,0,0,0,0,package://rosayanew/meshes/waist_link.STL,,FS-1-1;4S_1900_80C-1;HN07-N101 Edited-7,Origin_waist_roll_joint,,waist_roll_joint,revolute,-0.29478,0.22738,0.061112,1.5708,0.00053754,-0.00096153,base_link,0,0,0,2.5,0,1.1345,4.0143,,,,,,,,
hip_link,0.045659265971401,-0.0109874436586781,2.6747065720055E-05,0,0,0,0.139103984517577,3.83635317106231E-05,-8.91501631202284E-13,1.24256231838675E-12,2.38932336791584E-05,-1.82745083203461E-07,3.15364071298608E-05,0,0,0,0,0,0,package://rosayanew/meshes/hip_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rosayanew/meshes/hip_link.STL,,MX-28-6;FR07-S101-L-5;FR07-S101-L-6;MX-28-5;FR07-S101-L-3;FR07-S101-L-1;MX-28-7;THRUST_WASHER-7;THRUST_WASHER-6;THRUST_WASHER-5,Origin_waist_yaw_joint,,waist_yaw_joint,revolute,-0.057739,-0.0216,0.0044704,1.5708,0.0011987,0,waist_link,0,0,0,2.5,0,1.309,3.6652,,,,,,,,
hipyaw_right_link,-0.00838599829268227,0.013118160719659,0.0118918013346213,0,0,0,0.00951579267272955,1.41796406965292E-06,1.33317364146152E-11,2.72466604711063E-13,4.52777287280616E-06,4.07417695055598E-12,4.84519368121065E-06,0,0,0,0,0,0,package://rosayanew/meshes/hipyaw_right_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rosayanew/meshes/hipyaw_right_link.STL,,FR-XM5-01-1;HN07-N101 Edited-6;HN05-i101-12;FR05-F101-4;CAP-9;MF128ZZ-10,Origin_hipyaw_right_joint,,hipyaw_right_joint,revolute,-0.011879,0.015537,0.0236,1.5708,0,1.5708,hip_link,0,0,0,2.5,0,0,0,,,,,,,,
hiproll_right_link,0.000304812182805536,-0.015386550233657,0.0317653464222177,0,0,0,0.189174580115534,7.59556311007545E-05,-1.6209844739729E-07,3.0305474763736E-12,4.96123538313026E-05,-1.95920998057281E-07,8.02606430077749E-05,0,0,0,0,0,0,package://rosayanew/meshes/hiproll_right_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rosayanew/meshes/hiproll_right_link.STL,,XM540-W270-1;FR-XM5-03-1;FR13-S101-1;XM540-W270-2,Origin_hiproll_right_joint,,hiproll_right_joint,revolute,-0.071738,0.0319,0.011893,-1.5708,-1.5703,-1.5708,hipyaw_right_link,0,0,0,10.6,0,0,0,,,,,,,,
hippitch_right_link,2.08787276276823E-05,-0.0349794020347895,-2.80136132935482E-05,0,0,0,0.0990788181535516,3.65640945537559E-05,1.06282733016621E-06,2.3103234966177E-09,2.89113990297343E-05,-7.60422939043392E-09,4.93830312783972E-05,0,0,0,0,0,0,package://rosayanew/meshes/hippitch_right_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rosayanew/meshes/hippitch_right_link.STL,,FR-XM5-02-1;FR05-S101-3;MX-106-5;HN05-i101-4;MF128ZZ-4;CAP-4,Origin_hiproll_right_joint2,,hiproll_right_joint,revolute,-0.0001,-0.05633,0.05622,0,0,0,hiproll_right_link,0,0,0,10.6,0,0,0,,,,,,,,
kneepitch_right_link,0.0278887126914155,0.015100648472193,0.0520353980009107,0,0,0,0.019358226861366,1.54337755283822E-05,4.16144873571443E-06,-2.11117442947292E-16,3.00375986139604E-05,1.3440399804828E-16,2.14370365193728E-05,0,0,0,0,0,0,package://rosayanew/meshes/kneepitch_right_link.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://rosayanew/meshes/kneepitch_right_link.STL,,SF106-4-2,Origin_kneepitch_right_joint,,kneepitch_right_joint,revolute,0.052,-0.11807,0.02443,-1.5708,0,1.5708,hippitch_right_link,0,0,0,8.4,0,0,0,,,,,,,,
anklepitch_right_link,0.00567317888375546,-0.0257156025337531,0.027388092396229,0,0,0,0.179157163367396,6.2004999767118E-05,7.51338233265618E-07,1.41205104046991E-05,7.45909784988211E-05,-7.49407108094131E-07,5.98575734823856E-05,0,0,0,0,0,0,package://rosayanew/meshes/anklepitch_right_link.STL,1,1,1,1,0,0,0,0,0,0,package://rosayanew/meshes/anklepitch_right_link.STL,,HN05-i101-7;MX-106-7;CAP-6;MF128ZZ-6;FR08-X101K-L-4;MX-106-8;FR05-S101-4;FR05-F101-2,Origin_anklepitch_right_joint,,anklepitch_right_joint,revolute,-0.033429,0.02443,0.0778,1.5708,0,2.3562,kneepitch_right_link,0,0,0,8.4,0,0,0,,,,,,,,
angkleroll_right_link,-1.10045508816548E-09,-0.000938379078780305,-0.00784812984679401,0,0,0,0.0728910331350749,3.33197131957481E-05,6.38168248520781E-15,2.71099083064066E-14,0.000132875198487612,1.64842453154727E-12,0.000102630001589937,0,0,0,0,0,0,package://rosayanew/meshes/angkleroll_right_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://rosayanew/meshes/angkleroll_right_link.STL,,FR08-H101-S V1-2;SF106-0 V2-2,Origin_right_end,,right_end,revolute,0.016984,-0.0258,-0.02308,1.5708,-0.7854,0,anklepitch_right_link,0,0,0,8.4,0,0,0,,,,,,,,
hipyaw_left_link,-0.00778142425325382,0.014545720571261,0.0118929909746986,0,0,0,0.00873008666123984,1.39480445278502E-06,1.3175032889771E-11,2.24130554117765E-14,4.48325716719759E-06,3.9175010276383E-12,4.82203406699595E-06,0,0,0,0,0,0,package://rosayanew/meshes/hipyaw_left_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rosayanew/meshes/hipyaw_left_link.STL,,FR-XM5-01-2;MF128ZZ-11;CAP-10;FR05-F101-5;HN05-i101-13,Origin_hipyaw_left_joint,,hipyaw_left_joint,revolute,0.07944,0.015537,0.0236,1.5708,0,1.5708,hip_link,0,0,0,2.5,0,0,0,,,,,,,,
